Epoch: 0 | Iteration: 0 | Classification loss: 0.00006 | Regression loss: 0.00668 | Running loss: 0.00674
Epoch: 0 | Iteration: 1 | Classification loss: 0.00014 | Regression loss: 0.04708 | Running loss: 0.02698
Epoch: 0 | Iteration: 2 | Classification loss: 0.00072 | Regression loss: 0.08972 | Running loss: 0.04813
Epoch: 0 | Iteration: 3 | Classification loss: 0.00015 | Regression loss: 0.02205 | Running loss: 0.04165
Epoch: 0 | Iteration: 4 | Classification loss: 0.01200 | Regression loss: 0.09883 | Running loss: 0.05548
Epoch: 0 | Iteration: 5 | Classification loss: 0.00009 | Regression loss: 0.09653 | Running loss: 0.06234
Epoch: 0 | Iteration: 6 | Classification loss: 0.00039 | Regression loss: 0.03683 | Running loss: 0.05875
Epoch: 0 | Iteration: 7 | Classification loss: 0.00002 | Regression loss: 0.03903 | Running loss: 0.05629
Epoch: 0 | Iteration: 8 | Classification loss: 0.00026 | Regression loss: 0.03720 | Running loss: 0.05420
Epoch: 0 | Iteration: 9 | Classification loss: 1.13010 | Regression loss: 0.26514 | Running loss: 0.18830
Epoch: 0 | Iteration: 10 | Classification loss: 0.00022 | Regression loss: 0.05644 | Running loss: 0.17633
Epoch: 0 | Iteration: 11 | Classification loss: 0.00004 | Regression loss: 0.04015 | Running loss: 0.16499
Epoch: 0 | Iteration: 12 | Classification loss: 0.00979 | Regression loss: 0.08006 | Running loss: 0.15921
Epoch: 0 | Iteration: 13 | Classification loss: 0.00094 | Regression loss: 0.01970 | Running loss: 0.14931
Epoch: 0 | Iteration: 14 | Classification loss: 0.09044 | Regression loss: 0.15510 | Running loss: 0.15573
Epoch: 0 | Iteration: 15 | Classification loss: 1.04490 | Regression loss: 0.25983 | Running loss: 0.22754
Epoch: 0 | Iteration: 16 | Classification loss: 0.17136 | Regression loss: 0.13339 | Running loss: 0.23208
Epoch: 0 | Iteration: 17 | Classification loss: 0.10188 | Regression loss: 0.19907 | Running loss: 0.23591
Epoch: 0 | Iteration: 18 | Classification loss: 0.35054 | Regression loss: 0.26467 | Running loss: 0.25587
Epoch: 0 | Iteration: 19 | Classification loss: 0.00307 | Regression loss: 0.04439 | Running loss: 0.24545
Epoch: 0 | Iteration: 20 | Classification loss: 0.00996 | Regression loss: 0.05028 | Running loss: 0.23663
Epoch: 0 | Iteration: 21 | Classification loss: 0.00170 | Regression loss: 0.03245 | Running loss: 0.22743
Epoch: 0 | Iteration: 22 | Classification loss: 0.00256 | Regression loss: 0.03722 | Running loss: 0.21927
Epoch: 0 | Iteration: 23 | Classification loss: 0.00041 | Regression loss: 0.03841 | Running loss: 0.21175
Epoch: 0 | Iteration: 24 | Classification loss: 0.00001 | Regression loss: 0.03456 | Running loss: 0.20466
Epoch: 0 | Iteration: 25 | Classification loss: 0.00047 | Regression loss: 0.03229 | Running loss: 0.19805
Epoch: 0 | Iteration: 26 | Classification loss: 0.26734 | Regression loss: 0.09566 | Running loss: 0.20416
Epoch: 0 | Iteration: 27 | Classification loss: 0.01875 | Regression loss: 0.03007 | Running loss: 0.19861
Epoch: 0 | Iteration: 28 | Classification loss: 0.00018 | Regression loss: 0.02273 | Running loss: 0.19255
Epoch: 0 | Iteration: 29 | Classification loss: 0.00340 | Regression loss: 0.07854 | Running loss: 0.18887
Epoch: 0 | Iteration: 30 | Classification loss: 0.00122 | Regression loss: 0.07693 | Running loss: 0.18529
Epoch: 0 | Iteration: 31 | Classification loss: 0.00987 | Regression loss: 0.04877 | Running loss: 0.18134
Epoch: 0 | Iteration: 32 | Classification loss: 0.06247 | Regression loss: 0.18759 | Running loss: 0.18342
Epoch: 0 | Iteration: 33 | Classification loss: 0.36262 | Regression loss: 0.28663 | Running loss: 0.19712
Epoch: 0 | Iteration: 34 | Classification loss: 1.16835 | Regression loss: 0.35033 | Running loss: 0.23488
Epoch: 0 | Iteration: 35 | Classification loss: 0.00476 | Regression loss: 0.04361 | Running loss: 0.22970
Epoch: 0 | Iteration: 36 | Classification loss: 0.07114 | Regression loss: 0.13570 | Running loss: 0.22908
Epoch: 0 | Iteration: 37 | Classification loss: 0.00397 | Regression loss: 0.04740 | Running loss: 0.22440
Epoch: 0 | Iteration: 38 | Classification loss: 0.34013 | Regression loss: 0.22602 | Running loss: 0.23317
Epoch: 0 | Iteration: 39 | Classification loss: 0.00001 | Regression loss: 0.04667 | Running loss: 0.22850
Epoch: 0 | Iteration: 40 | Classification loss: 1.00898 | Regression loss: 0.47284 | Running loss: 0.25907
Epoch: 0 | Iteration: 41 | Classification loss: 0.11113 | Regression loss: 0.17377 | Running loss: 0.25969
